INFO 2025-08-07 18:04:07,424 autoreload Watching for file changes with StatReloader
INFO 2025-08-07 18:04:21,602 basehttp "GET / HTTP/1.1" 200 24248
INFO 2025-08-07 18:04:21,608 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
INFO 2025-08-07 18:04:21,612 basehttp "GET /media/images/vacation_images/madrid.jpg HTTP/1.1" 200 152848
INFO 2025-08-07 18:04:21,613 basehttp "GET /media/images/vacation_images/telaviv.jpg HTTP/1.1" 200 245534
INFO 2025-08-07 18:04:21,616 basehttp "GET /media/images/vacation_images/paris.jpg HTTP/1.1" 200 321594
INFO 2025-08-07 18:04:21,621 basehttp "GET /media/images/vacation_images/berlin.jpg HTTP/1.1" 200 221768
INFO 2025-08-07 18:04:21,623 basehttp "GET /static/js/script.js HTTP/1.1" 304 0
INFO 2025-08-07 18:04:21,635 basehttp "GET /media/images/vacation_images/rome.jpg HTTP/1.1" 200 13448632
INFO 2025-08-07 18:04:21,799 basehttp "GET /media/images/vacation_images/tokyo.jpg HTTP/1.1" 200 569660
INFO 2025-08-07 18:04:21,803 basehttp "GET /media/images/vacation_images/rio.jpg HTTP/1.1" 200 101606
INFO 2025-08-07 18:04:21,806 basehttp "GET /media/images/vacation_images/buenosaires.jpg HTTP/1.1" 200 625274
INFO 2025-08-07 18:04:21,809 basehttp "GET /media/images/vacation_images/nyc.jpg HTTP/1.1" 200 393340
INFO 2025-08-07 18:04:21,812 basehttp "GET /media/images/vacation_images/sydney.jpg HTTP/1.1" 200 71862
INFO 2025-08-07 18:04:21,816 basehttp "GET /media/images/vacation_images/medellin.jpg HTTP/1.1" 200 647559
INFO 2025-08-07 18:04:21,818 basehttp "GET /media/images/vacation_images/losangeles.jpg HTTP/1.1" 304 0
WARNING 2025-08-07 18:04:22,293 log Not Found: /favicon.ico
WARNING 2025-08-07 18:04:22,294 basehttp "GET /favicon.ico HTTP/1.1" 404 4788
INFO 2025-08-07 18:04:24,955 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-08-07 18:04:24,963 basehttp "GET /login/ HTTP/1.1" 200 3370
INFO 2025-08-07 18:04:32,411 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-08-07 18:04:32,421 basehttp "GET / HTTP/1.1" 200 30382
INFO 2025-08-07 18:04:34,983 basehttp "GET /edit/2/ HTTP/1.1" 200 6256
INFO 2025-08-07 18:09:40,196 basehttp "GET / HTTP/1.1" 200 30098
INFO 2025-08-07 18:09:40,211 basehttp "GET /static/css/style.css HTTP/1.1" 200 2429
INFO 2025-08-07 18:09:40,216 basehttp "GET /static/js/script.js HTTP/1.1" 200 4911
INFO 2025-08-07 18:09:40,217 basehttp "GET /media/images/vacation_images/madrid.jpg HTTP/1.1" 200 152848
INFO 2025-08-07 18:09:40,221 basehttp "GET /media/images/vacation_images/berlin.jpg HTTP/1.1" 200 221768
INFO 2025-08-07 18:09:40,224 basehttp "GET /media/images/vacation_images/telaviv.jpg HTTP/1.1" 200 245534
INFO 2025-08-07 18:09:40,230 basehttp "GET /media/images/vacation_images/rio.jpg HTTP/1.1" 200 101606
INFO 2025-08-07 18:09:40,230 basehttp "GET /media/images/vacation_images/paris.jpg HTTP/1.1" 200 321594
INFO 2025-08-07 18:09:40,238 basehttp "GET /media/images/vacation_images/sydney.jpg HTTP/1.1" 200 71862
INFO 2025-08-07 18:09:40,241 basehttp "GET /media/images/vacation_images/nyc.jpg HTTP/1.1" 200 393340
INFO 2025-08-07 18:09:40,242 basehttp "GET /media/images/vacation_images/losangeles.jpg HTTP/1.1" 200 9832
INFO 2025-08-07 18:09:40,243 basehttp "GET /media/images/vacation_images/tokyo.jpg HTTP/1.1" 200 569660
INFO 2025-08-07 18:09:40,244 basehttp "GET /media/images/vacation_images/buenosaires.jpg HTTP/1.1" 200 625274
INFO 2025-08-07 18:09:40,245 basehttp "GET /media/images/vacation_images/medellin.jpg HTTP/1.1" 200 647559
INFO 2025-08-07 18:09:40,258 basehttp "GET /media/images/vacation_images/rome.jpg HTTP/1.1" 200 13448632
WARNING 2025-08-07 18:09:40,954 log Not Found: /favicon.ico
WARNING 2025-08-07 18:09:40,955 basehttp "GET /favicon.ico HTTP/1.1" 404 4788
INFO 2025-08-07 18:09:42,309 basehttp "GET / HTTP/1.1" 200 30098
INFO 2025-08-07 18:09:42,327 basehttp "GET /static/css/style.css HTTP/1.1" 200 2429
INFO 2025-08-07 18:09:42,331 basehttp "GET /static/js/script.js HTTP/1.1" 200 4911
INFO 2025-08-07 18:09:42,338 basehttp "GET /media/images/vacation_images/madrid.jpg HTTP/1.1" 200 152848
INFO 2025-08-07 18:09:42,342 basehttp "GET /media/images/vacation_images/berlin.jpg HTTP/1.1" 200 221768
INFO 2025-08-07 18:09:42,343 basehttp "GET /media/images/vacation_images/paris.jpg HTTP/1.1" 200 321594
INFO 2025-08-07 18:09:42,345 basehttp "GET /media/images/vacation_images/telaviv.jpg HTTP/1.1" 200 245534
INFO 2025-08-07 18:09:42,351 basehttp "GET /media/images/vacation_images/rio.jpg HTTP/1.1" 200 101606
INFO 2025-08-07 18:09:42,359 basehttp "GET /media/images/vacation_images/sydney.jpg HTTP/1.1" 200 71862
INFO 2025-08-07 18:09:42,365 basehttp "GET /media/images/vacation_images/losangeles.jpg HTTP/1.1" 200 9832
INFO 2025-08-07 18:09:42,369 basehttp "GET /media/images/vacation_images/nyc.jpg HTTP/1.1" 200 393340
INFO 2025-08-07 18:09:42,371 basehttp "GET /media/images/vacation_images/tokyo.jpg HTTP/1.1" 200 569660
INFO 2025-08-07 18:09:42,373 basehttp "GET /media/images/vacation_images/buenosaires.jpg HTTP/1.1" 200 625274
INFO 2025-08-07 18:09:42,375 basehttp "GET /media/images/vacation_images/medellin.jpg HTTP/1.1" 200 647559
INFO 2025-08-07 18:09:42,405 basehttp "GET /media/images/vacation_images/rome.jpg HTTP/1.1" 200 13448632
WARNING 2025-08-07 18:09:42,412 log Not Found: /favicon.ico
WARNING 2025-08-07 18:09:42,413 basehttp "GET /favicon.ico HTTP/1.1" 404 4788
INFO 2025-08-07 18:09:47,892 basehttp "GET / HTTP/1.1" 200 30098
INFO 2025-08-07 18:09:48,981 basehttp "GET / HTTP/1.1" 200 30098
INFO 2025-08-07 18:09:48,998 basehttp "GET /static/css/style.css HTTP/1.1" 200 2429
INFO 2025-08-07 18:09:49,001 basehttp "GET /static/js/script.js HTTP/1.1" 200 4911
INFO 2025-08-07 18:09:49,009 basehttp "GET /media/images/vacation_images/madrid.jpg HTTP/1.1" 200 152848
INFO 2025-08-07 18:09:49,013 basehttp "GET /media/images/vacation_images/berlin.jpg HTTP/1.1" 200 221768
